date,temp,humidity,wind,cloud,rain,fog_observed,castle_visible,note,fog_probability,castle_probability,fog_score,castle_score,dew_point,dew_spread,event,updated_at,castle_event_probability
2022-02-03,1.775,92.0,3.2750000000000004,100.0,0.025,0,0,,0.565,0.472,68.2,60.2,0.61,1.16,FogOnly,2025-11-06T09:28:35.249571+09:00,0.0258892390937924
2022-02-04,-0.6000000000000001,88.5,3.025,89.25,0.475,1,0,,0.219,0.378,62.4,62.4,-2.26,1.66,,2025-11-06T09:28:39.887672+09:00,0.0609515436656371
2022-02-18,-0.7749999999999999,90.0,6.025,75.0,0.45,0,0,,0.119,0.617,55.5,55.5,-2.21,1.44,,2025-11-06T09:26:52.551087+09:00,0.0160097171607352
2022-02-19,-3.6,79.75,6.7250000000000005,100.0,0.0,1,1,,0.969,0.854,39.1,23.2,-6.59,2.99,Castle,2025-11-06T09:26:57.862392+09:00,0.9118588217094942
2022-02-25,-2.6,88.5,7.449999999999999,81.5,0.1,0,0,,0.171,0.513,54.8,54.8,-4.24,1.64,,2025-11-06T09:26:04.066955+09:00,0.0297515132027881
2022-02-26,1.2,86.0,6.175,14.75,0.025,1,1,,0.538,0.891,49.9,34.1,-0.88,2.08,FogOnly,2025-11-06T09:26:08.274105+09:00,0.9696417419032112
2022-03-03,3.875,92.75,6.225,51.25,0.075,0,0,,0.162,0.716,61.8,61.8,2.81,1.07,,2025-11-06T09:24:37.450900+09:00,0.0454790365093812
2022-03-04,-0.8500000000000001,73.5,5.425,0.25,0.0,1,1,,0.914,0.898,25.3,0.0,-4.99,4.14,Castle,2025-11-06T09:24:42.291768+09:00,0.9568699430926152
2022-03-07,0.375,79.5,9.275,93.25,0.0,0,0,,0.656,0.505,37.4,25.8,-2.76,3.13,FogOnly,2025-11-06T09:24:00.695059+09:00,0.0183443539849085
2022-03-08,-1.5,76.25,4.35,19.25,0.0,1,1,,0.77,0.768,31.4,5.8,-5.14,3.64,Castle,2025-11-06T09:24:07.067729+09:00,0.9530037630001122
2022-03-15,11.2,90.75,11.025,68.5,0.075,0,0,,0.202,0.654,57.2,57.2,9.74,1.46,,2025-11-06T09:22:50.702741+09:00,0.0079478268791612
2022-03-16,4.075,67.5,8.075,0.25,0.0,1,1,,0.986,0.782,15.0,0.0,-1.4,5.48,Castle,2025-11-06T09:22:55.477691+09:00,0.966189638046044
2022-03-24,5.35,85.25,3.25,34.25,0.025,0,0,,0.356,0.466,55.0,49.4,3.07,2.28,,2025-11-06T09:21:56.500247+09:00,0.0294476991522768
2022-03-25,3.425,85.0,7.45,14.25,0.0,1,1,,0.953,0.554,47.6,29.9,1.14,2.28,FogOnly,2025-11-06T09:22:03.882793+09:00,0.9221219954974208
2022-10-13,12.45,83.5,3.225,62.5,0.0,0,0,,0.664,0.353,50.1,44.4,9.73,2.72,FogOnly,2025-11-04T17:27:20.113520+09:00,0.0164909305803833
2022-10-14,13.475,93.25,4.825,3.75,0.0,1,1,,0.923,0.132,62.2,40.4,12.41,1.07,FogOnly,2025-11-04T17:27:25.169568+09:00,0.923096392006228
2022-10-15,14.9,92.0,2.475,80.75,0.0,0,0,,0.354,0.353,74.8,74.8,13.61,1.29,,2025-11-04T17:26:18.462969+09:00,0.0049662784471172
2022-10-16,14.9,93.75,6.05,19.5,0.0,1,1,,0.775,0.41,63.0,50.7,13.9,1.0,FogOnly,2025-11-04T17:26:23.580421+09:00,0.927411124873532
2022-11-02,13.525,87.0,3.0250000000000004,63.0,0.0,0,0,,0.47,0.353,59.3,58.3,11.4,2.12,,2025-11-04T17:25:29.355260+09:00,0.0041862398781207
2022-11-03,9.825,89.5,6.300000000000001,5.5,0.0,1,1,,0.667,0.155,55.3,34.6,8.18,1.65,FogOnly,2025-11-04T17:25:34.287870+09:00,0.9348821585376884
2022-11-05,6.95,78.0,3.075,29.0,0.0,0,0,,0.789,0.353,41.4,22.2,3.38,3.57,FogOnly,2025-11-04T17:24:31.472966+09:00,0.012275298376782
2022-11-06,6.525,79.75,5.749999999999999,7.75,0.0,1,1,,0.817,0.15,36.0,6.7,3.28,3.25,FogOnly,2025-11-04T17:24:36.761351+09:00,0.7526549221274359
2022-11-09,7.1,85.5,6.6,0.5,0.0,0,0,,0.743,0.395,47.8,22.0,4.83,2.27,FogOnly,2025-11-04T17:23:54.284198+09:00,0.0971189668678671
2022-11-10,8.525,76.5,11.225,31.5,0.0,1,1,,0.635,0.347,28.2,8.0,4.63,3.9,FogOnly,2025-11-04T17:23:58.992639+09:00,0.8678615230823846
2022-11-17,7.275,92.25,6.725,93.0,0.0,0,0,,0.577,0.396,60.9,58.5,6.1,1.17,FogOnly,2025-11-04T17:22:46.143682+09:00,0.0468927215521353
2022-11-18,6.85,80.0,7.9,0.5,0.0,1,1,,0.863,0.395,36.5,3.1,3.64,3.21,FogOnly,2025-11-04T17:21:51.694623+09:00,0.967076887616952
2022-11-19,7.525,84.75,7.375,1.75,0.0,1,1,,0.554,0.347,46.2,20.0,5.12,2.4,FogOnly,2025-11-04T17:21:56.720241+09:00,0.8512840683055037
2022-12-31,2.525,92.75,4.4750000000000005,81.75,0.0,0,0,,0.644,0.341,62.3,62.3,1.47,1.05,FogOnly,2025-11-04T17:19:36.539191+09:00,0.0283371490166386
2023-01-01,3.15,86.0,5.074999999999999,62.0,0.025,1,1,,0.254,0.698,49.5,48.6,1.03,2.12,,2025-11-04T17:19:44.193334+09:00,0.946751706647624
2023-01-18,0.5,82.25,2.725,85.75,0.25,0,0,,0.336,0.333,54.4,49.0,-2.18,2.68,,2025-11-04T17:18:29.247821+09:00,0.0087929803136635
